REF_AREA_LABEL,INDICATOR_LABEL,UNIT_MEASURE_LABEL,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Malta,"Employment to population ratio, 15+, total (%) (national estimate)",Percentage,46.626,47.054,49.957,50.557,51.631,53.068,54.781,56.222,56.972,58.437,59.99,61.831,62.883,63.551,65.584,68.072,69.265,65.006
Ireland,"Employment to population ratio, 15+, total (%) (national estimate)",Percentage,63.307,61.472,56.006,53.502,52.449,52.114,53.453,54.431,55.691,56.971,57.818,58.594,59.253,57.684,59.629,61.792,63.699,62.992
Cyprus,"Employment to population ratio, 15+, total (%) (national estimate)",Percentage,61.863,61.86,60.308,60.246,58.729,55.946,53.252,53.493,53.004,53.327,54.822,57.174,58.507,57.935,59.035,60.678,61.716,61.921
Estonia,"Employment to population ratio, 15+, total (%) (national estimate)",Percentage,57.773,57.773,52.493,50.392,53.747,55.167,56.033,56.627,58.139,58.653,59.889,60.397,60.706,59.098,59.753,61.987,62.219,61.953
Portugal,"Employment to population ratio, 15+, total (%) (national estimate)",Percentage,57.25,57.344,55.568,54.631,52.695,50.724,49.562,50.548,51.231,51.895,53.619,54.819,55.138,53.566,52.947,54.22,54.873,54.916
Czechia,"Employment to population ratio, 15+, total (%) (national estimate)",Percentage,55.647,55.933,54.768,54.188,54.351,54.548,55.154,55.687,56.425,57.551,58.478,59.203,59.164,58.268,58.153,58.529,58.404,59.031
Italy,"Employment to population ratio, 15+, total (%) (national estimate)",Percentage,45.79,45.8,44.72,44.173,44.118,43.852,42.865,42.836,43.142,43.715,44.228,44.572,44.895,43.94,43.96,45.138,46.068,46.599
Hungary,"Employment to population ratio, 15+, total (%) (national estimate)",Percentage,46.597,46.007,44.855,44.719,45.088,45.976,46.87,49.534,51.026,52.847,53.935,54.888,55.414,54.727,57.341,58.295,58.72,58.833
Spain,"Employment to population ratio, 15+, total (%) (national estimate)",Percentage,53.755,52.69,48.879,47.785,46.91,44.925,43.883,44.55,45.853,47.032,48.107,49.088,49.751,47.91,49.05,50.252,50.992,51.438
Austria,"Employment to population ratio, 15+, total (%) (national estimate)",Percentage,56.893,57.558,57.107,57.343,57.558,57.67,57.538,57.16,57.115,57.427,57.703,58.298,58.514,57.651,57.202,58.441,58.364,58.314
Slovenia,"Employment to population ratio, 15+, total (%) (national estimate)",Percentage,56.818,56.888,55.95,54.889,53.193,52.449,51.461,52.096,52.179,52.068,54.59,55.805,55.485,54.891,55.704,56.579,56.387,56.563
Romania,"Employment to population ratio, 15+, total (%) (national estimate)",Percentage,51.257,51.354,50.706,51.051,50.227,50.903,50.663,51.138,50.828,50.552,52.232,52.675,52.983,52.29,48.214,48.921,48.595,49.21
Germany,"Employment to population ratio, 15+, total (%) (national estimate)",Percentage,54.01,54.912,54.951,55.149,56.551,56.848,57.159,57.426,57.438,58.523,58.926,59.19,60.006,58.207,58.411,59.086,59.625,59.577
Slovak Republic,"Employment to population ratio, 15+, total (%) (national estimate)",Percentage,52.294,53.673,51.799,50.522,50.772,50.945,50.861,52.817,52.816,54.261,55.086,55.9,56.256,55.069,56.347,57.755,58.001,58.208
Netherlands,"Employment to population ratio, 15+, total (%) (national estimate)",Percentage,61.856,62.86,62.538,61.584,61.332,61.223,60.259,59.586,59.961,60.228,60.938,61.798,62.608,62.062,64.168,65.505,66.154,66.152
Denmark,"Employment to population ratio, 15+, total (%) (national estimate)",Percentage,63.215,62.688,60.267,58.578,58.15,57.453,56.884,57.016,57.467,57.959,58.116,58.644,59.245,58.536,59.366,60.561,60.408,61.212
